Vardas                Pavardė             ND1             ND2             ND3             ND4             ND5             ND6             ND7             ND8             ND9             ND10           Egz.
Vardas76             Pavarde76             3              5              2              9              0              2              5              3              5              9              7              
Vardas77             Pavarde77             1              8              0              4              6              8              10             1              2              3              2              
Vardas78             Pavarde78             10             5              10             6              10             1              0              2              3              0              0              
Vardas79             Pavarde79             9              4              9              8              5              0              5              7              8              2              9              
Vardas80             Pavarde80             5              6              10             6              8              1              6              8              9              8              6              
Vardas81             Pavarde81             10             5              5              0              10             0              9              4              4              7              2              
Vardas82             Pavarde82             3              0              8              9              4              0              4              4              7              3              6              
Vardas83             Pavarde83             5              6              5              2              10             2              9              0              6              1              9              
Vardas84             Pavarde84             4              0              5              4              2              5              2              4              1              2              6              
Vardas85             Pavarde85             1              7              5              7              10             6              9              7              9              6              9              
Vardas86             Pavarde86             2              7              1              2              5              7              3              1              5              10             6              
Vardas87             Pavarde87             9              6              4              3              5              2              1              5              5              4              5              
Vardas88             Pavarde88             4              6              2              9              6              6              9              10             5              6              3              
Vardas89             Pavarde89             4              7              7              10             8              5              6              4              9              1              5              
Vardas90             Pavarde90             9              2              5              5              8              0              3              0              5              1              6              
Vardas91             Pavarde91             5              6              6              10             5              3              7              1              0              0              4              
Vardas92             Pavarde92             6              8              1              5              5              9              3              10             3              7              8              
Vardas93             Pavarde93             1              5              5              1              6              1              4              3              10             3              0              
Vardas94             Pavarde94             3              8              1              2              2              6              7              4              5              4              8              
Vardas95             Pavarde95             5              4              5              8              3              9              6              4              9              7              5              
Vardas96             Pavarde96             1              9              1              4              1              5              8              7              2              6              0              
Vardas97             Pavarde97             0              2              0              0              6              6              7              4              8              10             1              
Vardas98             Pavarde98             1              9              3              9              0              4              8              8              10             5              10             
Vardas99             Pavarde99             1              4              8              8              4              5              6              2              7              10             8              
Vardas100            Pavarde100            2              3              5              3              3              10             10             9              2              5              3              
Vardas101            Pavarde101            0              4              3              7              10             9              2              7              9              6              0              
Vardas102            Pavarde102            4              6              3              9              2              1              6              10             1              7              7              
Vardas103            Pavarde103            10             0              5              4              9              6              0              4              3              10             3              
Vardas104            Pavarde104            3              1              5              10             8              4              4              3              3              2              5              
Vardas105            Pavarde105            5              0              8              4              4              9              7              0              0              2              2              
Vardas106            Pavarde106            0              9              8              4              7              10             2              3              9              5              9              
Vardas107            Pavarde107            10             10             3              0              5              7              3              9              4              10             5              
Vardas108            Pavarde108            0              10             1              1              1              8              1              9              4              2              2              
Vardas109            Pavarde109            10             4              7              6              1              7              3              6              9              10             10             
Vardas110            Pavarde110            4              6              5              4              9              1              0              3              2              1              10             
Vardas111            Pavarde111            7              6              3              1              0              0              5              2              6              2              1              
Vardas112            Pavarde112            5              5              6              3              5              6              0              6              7              8              2              
Vardas113            Pavarde113            3              9              8              6              9              0              8              9              4              10             5              
Vardas114            Pavarde114            3              4              10             4              6              5              6              4              2              2              3              
Vardas115            Pavarde115            9              7              10             9              9              5              8              3              2              0              2              
Vardas116            Pavarde116            7              4              4              3              6              3              2              7              2              9              7              
Vardas117            Pavarde117            5              8              7              10             2              7              2              6              4              0              5              
Vardas118            Pavarde118            1              10             9              4              9              8              6              5              2              0              6              
Vardas119            Pavarde119            9              6              7              8              4              4              4              8              10             7              9              
Vardas120            Pavarde120            9              8              1              3              10             6              0              8              2              6              8              
Vardas121            Pavarde121            4              1              2              2              1              0              6              1              9              10             6              
Vardas122            Pavarde122            5              6              5              2              5              6              2              6              4              2              1              
Vardas123            Pavarde123            9              5              10             1              8              4              10             10             9              0              5              
Vardas124            Pavarde124            4              3              9              7              1              4              8              1              0              10             2              
Vardas125            Pavarde125            8              7              6              1              6              3              0              4              5              3              10             
Vardas126            Pavarde126            10             10             0              10             7              5              4              10             0              0              9              
Vardas127            Pavarde127            4              7              4              0              9              7              3              5              9              9              10             
Vardas128            Pavarde128            1              8              0              6              10             10             6              7              4              4              1              
Vardas129            Pavarde129            5              7              10             6              1              10             8              4              2              6              4              
Vardas130            Pavarde130            6              9              5              2              10             3              2              5              1              5              3              
Vardas131            Pavarde131            0              3              5              6              3              2              7              4              10             1              9              
Vardas132            Pavarde132            9              9              4              6              5              0              0              8              8              0              5              
Vardas133            Pavarde133            8              3              4              1              0              7              0              7              10             7              5              
Vardas134            Pavarde134            1              3              4              4              8              9              5              4              7              1              8              
Vardas135            Pavarde135            1              6              1              2              0              7              2              8              8              9              5              
Vardas136            Pavarde136            10             2              3              5              3              7              6              3              5              8              10             
Vardas137            Pavarde137            5              6              9              8              6              10             9              9              2              10             0              
Vardas138            Pavarde138            5              5              8              7              8              8              8              0              7              2              0              
Vardas139            Pavarde139            9              0              0              5              8              9              4              8              0              2              1              
Vardas140            Pavarde140            5              4              1              6              5              1              5              4              6              5              5              
Vardas141            Pavarde141            6              6              5              8              0              6              5              10             0              3              8              
Vardas142            Pavarde142            1              4              0              10             1              5              0              1              7              5              9              
Vardas143            Pavarde143            8              8              0              3              4              7              4              3              0              10             2              
Vardas144            Pavarde144            0              7              4              4              2              7              8              4              6              4              8              
Vardas145            Pavarde145            10             9              3              6              8              2              9              10             6              1              6              
Vardas146            Pavarde146            5              3              1              4              9              6              5              7              3              3              1              
Vardas147            Pavarde147            3              10             1              9              0              1              2              9              9              5              0              
Vardas148            Pavarde148            7              0              6              6              7              6              8              7              7              10             1              
Vardas149            Pavarde149            6              1              2              8              9              2              4              9              7              8              5              
Vardas150            Pavarde150            4              6              5              0              10             0              6              1              8              3              9              
Vardas151            Pavarde151            4              3              6              3              4              7              5              3              2              10             7              
Vardas152            Pavarde152            2              1              8              4              3              1              6              1              5              10             8              
Vardas153            Pavarde153            5              0              1              10             10             10             1              4              2              9              1              
Vardas154            Pavarde154            2              5              2              7              5              5              10             9              6              3              7              
Vardas155            Pavarde155            4              3              6              3              3              7              8              1              2              7              2              
Vardas156            Pavarde156            2              3              8              1              8              6              5              1              2              3              5              
Vardas157            Pavarde157            9              1              7              5              7              6              2              0              0              1              10             
Vardas158            Pavarde158            3              9              2              1              3              1              10             4              5              10             3              
Vardas159            Pavarde159            2              0              4              7              5              9              3              3              10             7              4              
Vardas160            Pavarde160            2              0              4              2              7              2              4              9              2              1              0              
Vardas161            Pavarde161            7              0              10             3              8              9              5              1              9              6              4              
Vardas162            Pavarde162            3              5              5              1              9              7              5              1              9              3              3              
Vardas163            Pavarde163            5              1              2              10             0              7              5              3              1              7              5              
Vardas164            Pavarde164            1              8              9              8              3              5              9              9              3              9              3              
Vardas165            Pavarde165            8              2              5              8              9              9              4              0              2              9              4              
Vardas166            Pavarde166            1              4              9              1              0              9              10             1              0              6              10             
Vardas167            Pavarde167            7              10             0              4              7              5              5              3              4              2              0              
Vardas168            Pavarde168            0              6              6              3              7              5              10             3              8              9              0              
Vardas169            Pavarde169            4              9              9              3              8              8              5              8              7              3              2              
Vardas170            Pavarde170            1              5              9              6              8              0              10             7              3              9              1              
Vardas171            Pavarde171            8              6              6              10             10             8              5              10             1              9              6              
Vardas172            Pavarde172            8              2              4              6              0              1              10             4              9              2              6              
Vardas173            Pavarde173            3              2              0              9              7              8              3              6              8              10             6              
Vardas174            Pavarde174            5              7              10             5              2              6              3              2              3              4              10             
Vardas175            Pavarde175            5              1              8              10             2              10             6              2              0              4              0              
Vardas176            Pavarde176            7              6              0              5              8              9              9              0              4              8              10             
Vardas177            Pavarde177            4              2              2              3              1              9              9              8              3              0              3              
Vardas178            Pavarde178            8              8              4              8              5              6              1              10             8              5              6              
Vardas179            Pavarde179            10             3              2              4              4              8              7              4              7              8              1              
Vardas180            Pavarde180            7              0              8              2              0              6              9              2              0              10             1              
Vardas181            Pavarde181            0              5              0              6              0              9              5              0              4              6              10             
Vardas182            Pavarde182            4              5              4              10             5              8              6              7              2              3              2              
Vardas183            Pavarde183            7              4              1              0              4              6              8              0              5              2              10             
Vardas184            Pavarde184            2              8              1              8              7              8              4              6              7              0              10             
Vardas185            Pavarde185            5              5              4              10             0              2              1              7              4              2              9              
Vardas186            Pavarde186            10             6              0              4              4              9              3              3              7              6              2              
Vardas187            Pavarde187            6              5              6              3              9              8              8              1              7              9              6              
Vardas188            Pavarde188            9              4              1              10             3              4              9              0              6              10             0              
Vardas189            Pavarde189            0              6              6              8              8              6              7              6              8              1              4              
Vardas190            Pavarde190            0              3              6              8              1              10             5              6              9              3              6              
Vardas191            Pavarde191            2              4              8              5              6              0              9              8              10             3              0              
Vardas192            Pavarde192            6              9              0              2              9              2              6              10             10             3              0              
Vardas193            Pavarde193            1              0              2              3              7              0              8              3              5              9              7              
Vardas194            Pavarde194            1              4              0              1              10             0              0              6              10             6              8              
Vardas195            Pavarde195            6              5              0              9              6              3              1              6              0              7              4              
Vardas196            Pavarde196            7              2              3              8              2              3              1              0              8              0              3              
Vardas197            Pavarde197            6              5              6              5              5              6              10             6              6              10             8              
Vardas198            Pavarde198            1              6              9              6              4              6              10             1              0              7              6              
Vardas199            Pavarde199            6              1              0              8              9              4              2              3              3              1              0              
Vardas200            Pavarde200            1              3              7              10             2              0              0              6              2              2              1              
Vardas201            Pavarde201            6              8              7              1              1              3              1              3              10             4              9              
Vardas202            Pavarde202            8              2              8              3              9              8              0              2              1              1              5              
Vardas203            Pavarde203            3              4              8              6              7              4              7              3              8              9              8              
Vardas204            Pavarde204            5              7              0              8              5              4              7              8              9              8              4              
Vardas205            Pavarde205            5              4              9              2              0              8              2              0              8              1              7              
Vardas206            Pavarde206            8              4              10             7              2              3              7              2              6              9              4              
Vardas207            Pavarde207            2              8              8              8              3              2              1              5              8              3              9              
Vardas208            Pavarde208            9              5              4              1              10             1              4              1              6              0              6              
Vardas209            Pavarde209            8              6              1              6              6              3              4              3              2              0              1              
Vardas210            Pavarde210            0              6              6              2              2              5              1              10             1              10             2              
Vardas211            Pavarde211            9              0              7              2              5              6              9              2              8              6              1              
Vardas212            Pavarde212            1              2              4              5              1              10             8              1              2              2              3              
Vardas213            Pavarde213            10             10             9              5              0              3              7              10             7              4              4              
Vardas214            Pavarde214            9              0              6              4              7              2              7              10             8              3              4              
